iter	Logloss
121	0.4433964906
122	0.4428932685
123	0.4427525219
124	0.4426021705
125	0.4423655632
126	0.4417325179
127	0.4415026591
128	0.4413256274
129	0.4411038669
130	0.4408234097
131	0.4406578976
132	0.4405039051
133	0.4401674193
134	0.4400900464
135	0.4398728372
136	0.4394182047
137	0.4390311832
138	0.4388145391
139	0.4385812276
140	0.4385317591
141	0.4382780764
142	0.4381781979
143	0.4380557195
144	0.4377711505
145	0.4377038219
146	0.4373388666
147	0.4371844347
148	0.4368169055
149	0.4364735769
150	0.4362955722
151	0.4361089355
152	0.4360125411
153	0.4358265009
154	0.4351274453
155	0.4348170434
156	0.4346207076
157	0.4346194521
158	0.4341695278
159	0.433676664
160	0.4335282587
161	0.4332608591
162	0.433115216
163	0.4326946715
164	0.4325452617
165	0.4321582089
166	0.4317829267
167	0.4311515135
168	0.4308784013
169	0.430691796
170	0.4306864286
171	0.4305626633
172	0.4305239298
173	0.4304412208
174	0.430250127
175	0.4300260751
176	0.4298453396
177	0.4295149431
178	0.4293381939
179	0.4290723638
180	0.4289259987
181	0.4286428107
182	0.4284895402
183	0.4281941734
184	0.4280482478
185	0.4279173259
186	0.4275826292
187	0.4273418159
188	0.4271840881
189	0.4270323556
190	0.4267282942
191	0.4265093587
192	0.4264287214
193	0.4263233812
194	0.4261173778
195	0.4258674304
196	0.4258666456
197	0.4254058609
198	0.4252808715
199	0.4250962437
200	0.424880761
201	0.4246838603
202	0.4245955327
203	0.424504851
204	0.4244211376
205	0.4243220124
206	0.4242580111
207	0.4239479858
208	0.423841139
209	0.4236071997
210	0.4234892414
211	0.4232733192
212	0.423189951
213	0.422981719
214	0.4228023018
215	0.4226892086
216	0.4226073471
217	0.42238182
218	0.4220833772
219	0.4216401701
220	0.4215738773
221	0.4213533724
222	0.4212358221
223	0.4212043393
224	0.4209073717
225	0.4208338596
226	0.4204671779
227	0.4201246969
228	0.419826976
229	0.4197148559
230	0.4196199367
231	0.4195211254
232	0.4192840159
233	0.4190369876
234	0.4187369125
235	0.4186514727
236	0.4184393486
237	0.4183181572
238	0.4181741148
239	0.4179763666
240	0.4179507535
241	0.4176788027
242	0.4175432667
243	0.4168825052
244	0.4167163339
245	0.4164028245
246	0.4160956243
247	0.4157635328
248	0.4155759545
249	0.4154055772
250	0.4153056359
251	0.4152972551
252	0.415130613
253	0.4147015308
254	0.4146121674
255	0.4144745912
256	0.4143616236
257	0.4141549924
258	0.4138557335
259	0.4134811732
260	0.4133789719
261	0.4132835192
262	0.413109438
263	0.4127996325
264	0.4126229146
265	0.4124831726
266	0.4124358072
267	0.4122212347
268	0.4118936318
269	0.4116083722
270	0.4114433937
271	0.411272263
272	0.4110135895
273	0.4108985189
274	0.410594583
275	0.4103596079
276	0.4101298747
277	0.4099417628
278	0.4095750184
279	0.4094220303
280	0.4090398427
281	0.4087945721
282	0.4085724664
283	0.4083923272
284	0.4082870184
285	0.4081655131
286	0.407960828
287	0.4077778952
288	0.4076219253
289	0.4071698352
290	0.4067939253
291	0.4066329331
292	0.4064798509
293	0.4062524719
294	0.4060706377
295	0.4059019867
296	0.4057538325
297	0.4055469502
298	0.4054442153
299	0.4050936046
300	0.4049115507
301	0.4046272327
302	0.404458362
303	0.404337202
304	0.4041467987
305	0.4040534176
306	0.4039044159
307	0.403589651
308	0.4031780208
309	0.4027219758
310	0.4025327653
311	0.4022470976
312	0.4017673856
313	0.4015704535
314	0.40128488
315	0.40093926
316	0.4008100332
317	0.4006784835
318	0.4003596381
319	0.4002004978
320	0.4000794006
321	0.3997080734
322	0.3994437186
323	0.3992961294
324	0.3990523655
325	0.3987974272
326	0.3984236517
327	0.3980943539
328	0.3979680775
329	0.3978439042
330	0.3974381751
331	0.3972621478
332	0.3968055064
333	0.3964923423
334	0.3961939622
335	0.3959509831
336	0.3956422447
337	0.3955663471
338	0.3951719807
339	0.3948771161
340	0.3945961881
341	0.3943274389
342	0.3940183867
343	0.393834167
344	0.3937022721
345	0.3934076272
346	0.3930566399
347	0.3928944863
348	0.3926988098
349	0.3925248541
350	0.3921781042
351	0.3919454205
352	0.3917950063
353	0.3914307729
354	0.3912088869
355	0.3909163137
356	0.3907799302
357	0.3906366412
358	0.3901897303
359	0.3899354826
360	0.3896980278
361	0.389463963
362	0.3892299923
363	0.3890514226
364	0.3887540469
365	0.388526762
366	0.3882024864
367	0.3879298136
368	0.387722586
369	0.3874337795
370	0.3870416416
371	0.3868893441
372	0.3865001568
373	0.3862630159
374	0.385935978
375	0.3856826406
376	0.3855441541
377	0.3853056321
378	0.3848027239
379	0.3845982899
380	0.3843600504
381	0.3839998348
382	0.3839084625
383	0.3838172159
384	0.3836533046
385	0.3834681432
386	0.3831756956
387	0.3828594868
388	0.3825089075
389	0.3824015898
390	0.3821479699
391	0.3819952957
392	0.3817973278
393	0.3815235878
394	0.3813343145
395	0.3811222217
396	0.3808396301
397	0.3804616485
398	0.3802240368
399	0.3801388167
